,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageCars,GarageArea,Y
336,9,2005,2006,2,0,1922.0,1922,1922,2,2,8,3.0,676.0,377426
337,7,2002,2003,2,2,1536.0,1536,1536,2,2,7,2.0,532.0,214000
338,7,1984,1998,2,2,1208.0,1621,1621,2,2,8,2.0,440.0,202500
339,6,1958,1998,3,4,1215.0,1215,1215,1,3,6,1.0,297.0,155000
340,8,2002,2002,2,2,967.0,993,1908,2,2,9,2.0,431.0,202900
341,4,1950,1950,1,4,721.0,841,841,1,3,4,1.0,294.0,82000
342,3,1949,1950,3,3,0.0,1040,1040,2,3,6,2.0,400.0,87500
343,9,2005,2005,0,0,1684.0,1684,1684,2,0,6,2.0,564.0,266000
344,5,1976,1976,3,2,536.0,536,1112,1,3,4,1.0,336.0,85000
345,6,1939,1950,3,4,972.0,972,1577,1,1,6,1.0,312.0,140200
346,6,1960,1998,3,4,958.0,958,958,1,3,5,1.0,301.0,151500
347,6,1960,1960,3,4,1478.0,1478,1478,2,3,6,2.0,498.0,157500
348,7,2003,2004,2,2,764.0,764,1626,2,2,6,2.0,474.0,154000
349,9,2005,2006,0,0,1848.0,1848,2728,2,0,10,3.0,706.0,437154
350,9,2007,2007,0,0,1869.0,1869,1869,2,0,6,2.0,617.0,318061
351,7,1986,1986,3,2,1453.0,1453,1453,1,2,6,2.0,445.0,190000
352,5,1941,1950,3,4,616.0,616,1111,1,3,5,1.0,200.0,95000
353,6,1928,2003,3,4,624.0,720,720,1,3,5,2.0,484.0,105900
354,6,1940,2000,3,4,940.0,1192,1595,1,3,6,1.0,240.0,140000
355,6,1995,1995,2,2,1200.0,1200,1200,2,2,6,2.0,521.0,177500
356,6,1992,1992,3,2,1158.0,1167,1167,2,2,6,2.0,400.0,173000
357,5,1976,1976,3,2,1142.0,1142,1142,1,3,6,2.0,528.0,134000
358,5,1958,1958,3,4,1062.0,1352,1352,1,2,6,1.0,288.0,130000
359,8,1998,1998,2,2,1086.0,1086,1924,2,2,7,2.0,592.0,280000
360,6,1978,1978,3,2,888.0,912,912,1,3,5,2.0,470.0,156000
361,5,1940,1982,3,4,883.0,988,1505,1,3,8,1.0,240.0,145000
362,7,2003,2003,2,3,0.0,495,1922,3,2,7,2.0,672.0,198500
363,6,1972,2007,3,4,483.0,483,987,1,2,5,1.0,264.0,118000
364,6,1976,1976,3,2,796.0,790,1574,2,3,6,2.0,566.0,190000
365,5,1920,1997,3,4,672.0,672,1344,1,3,6,1.0,468.0,147000
366,6,1963,1963,3,2,1394.0,1394,1394,1,3,6,2.0,514.0,159000
367,6,1962,1962,3,2,1099.0,1431,1431,1,3,6,1.0,296.0,165000
368,5,1954,1954,3,4,1268.0,1268,1268,1,3,7,1.0,244.0,132000
369,5,1959,2006,3,4,1063.0,1287,1287,1,2,7,2.0,576.0,162000
370,6,2000,2000,3,2,953.0,953,1664,2,3,7,2.0,460.0,172400
371,4,1959,1959,3,3,0.0,1120,1588,2,3,7,2.0,680.0,134432
372,6,1984,1984,3,2,744.0,752,752,1,3,4,1.0,264.0,125000
373,5,1953,1953,3,4,608.0,1319,1319,1,3,5,1.0,270.0,123000
374,7,2003,2004,2,2,847.0,847,1928,2,2,8,2.0,434.0,219500
375,1,1922,1950,1,1,683.0,904,904,0,1,4,0.0,0.0,61000
376,5,1996,1996,2,2,870.0,914,914,1,3,5,2.0,576.0,148000
377,8,2004,2005,2,2,1580.0,1580,2466,3,2,8,2.0,610.0,340000
378,9,2010,2010,2,0,1856.0,1856,1856,1,0,8,3.0,834.0,394432
379,6,2000,2000,3,2,982.0,1007,1800,2,3,7,2.0,463.0,179000
380,5,1924,1950,3,4,1026.0,1026,1691,2,2,6,1.0,308.0,127000
381,7,2006,2006,2,2,1293.0,1301,1301,2,2,5,2.0,572.0,187750
382,7,2006,2006,2,2,939.0,939,1797,2,2,8,2.0,639.0,213500
383,6,1928,1950,3,1,784.0,784,784,1,3,5,2.0,360.0,76000
384,6,1992,1992,2,2,1580.0,1079,1953,2,2,9,2.0,501.0,240000
385,8,2004,2005,2,2,1256.0,1269,1269,2,2,6,2.0,430.0,192000
386,5,1910,1996,3,4,658.0,658,1184,1,3,8,0.0,0.0,81000
387,6,1976,1976,3,4,1041.0,1125,1125,1,3,6,1.0,352.0,125000
388,7,1999,2000,2,2,1468.0,1479,1479,2,2,6,2.0,577.0,191000
389,10,2007,2008,0,0,1682.0,1742,2332,2,0,9,3.0,846.0,426000
390,5,1900,1950,3,4,861.0,961,1367,1,3,7,1.0,384.0,119000
391,6,2001,2002,3,0,804.0,804,1961,2,2,7,2.0,560.0,215000
392,5,1959,1959,3,3,0.0,882,882,1,3,5,1.0,294.0,106500
393,4,1941,1950,3,4,788.0,788,788,1,3,4,0.0,0.0,100000
394,5,1940,1950,3,4,735.0,735,1034,1,3,5,1.0,240.0,109000
395,5,1956,1956,3,4,1144.0,1144,1144,1,3,6,1.0,596.0,129000
396,5,1972,1972,3,4,894.0,894,894,1,3,6,2.0,600.0,123000
397,5,1962,1962,3,4,864.0,876,1812,2,3,8,1.0,264.0,169500
398,5,1920,1950,3,1,961.0,1077,1077,1,3,6,1.0,338.0,67000
399,7,2006,2007,2,2,1092.0,1112,1550,2,2,7,2.0,438.0,241000
400,8,1996,1996,2,2,1260.0,1288,1288,1,0,4,2.0,500.0,245500
401,7,2005,2005,2,2,1310.0,1310,1310,2,2,6,2.0,400.0,164990
402,5,1940,1997,3,4,672.0,672,672,1,3,4,1.0,240.0,108000
403,8,1998,1998,2,2,1141.0,1165,2263,2,2,10,2.0,420.0,258000
404,6,1995,1996,3,2,806.0,806,1572,2,3,7,2.0,373.0,168000
405,4,1976,1993,3,4,1281.0,1620,1620,2,3,8,2.0,490.0,150000
406,6,1936,1950,3,4,1064.0,1166,1639,1,3,6,1.0,240.0,115000
407,6,1915,1976,3,2,840.0,840,1680,2,3,8,1.0,308.0,177000
408,7,2006,2006,2,0,1063.0,1071,2172,2,2,9,3.0,947.0,280000
409,8,2007,2008,2,0,1034.0,1050,2078,2,0,8,3.0,836.0,339750
410,5,1958,1958,3,4,1276.0,1276,1276,1,3,5,1.0,350.0,60000
411,5,1955,1955,3,4,1056.0,1056,1056,1,3,5,2.0,572.0,145000
412,7,2009,2009,0,0,1470.0,1478,1478,2,2,7,2.0,484.0,222000
413,5,1927,1950,3,4,1008.0,1028,1028,1,3,5,2.0,360.0,115000
414,7,1993,1993,2,2,1080.0,1080,2097,2,2,9,3.0,678.0,228000
415,7,2007,2007,2,2,1340.0,1340,1340,2,2,6,2.0,396.0,181134
416,6,1978,1978,3,4,672.0,672,1400,1,3,6,2.0,440.0,149500
417,6,1918,1950,3,2,1370.0,1370,2624,2,3,10,3.0,864.0,239000
418,5,1940,1950,3,4,756.0,756,1134,1,3,7,1.0,240.0,126000
419,5,1968,1968,3,4,1056.0,1056,1056,1,3,6,1.0,304.0,142000
420,7,1997,1998,3,2,1344.0,1344,1344,2,3,8,4.0,784.0,206300
421,6,1977,2000,2,2,1602.0,1602,1602,2,2,8,2.0,529.0,215000
422,5,1954,1954,3,4,988.0,988,988,1,3,4,2.0,520.0,113000
423,8,1998,1998,2,2,1470.0,1470,2630,2,2,8,3.0,696.0,315000
424,6,1956,1956,3,2,1196.0,1196,1196,1,3,6,1.0,297.0,139000
425,7,1946,1992,3,4,651.0,707,1389,1,3,6,1.0,240.0,135000
426,7,1989,1989,2,2,1518.0,1644,1644,2,2,5,2.0,569.0,275000
427,4,1957,1957,3,4,907.0,907,907,1,3,5,1.0,352.0,109008
428,7,2007,2007,2,2,1208.0,1208,1208,2,2,6,2.0,628.0,195400
429,6,1988,1988,3,2,1392.0,1412,1412,2,2,6,2.0,576.0,175000
430,6,1971,1971,3,4,483.0,483,987,1,3,4,1.0,264.0,85400
431,6,1920,1998,3,4,901.0,1088,1198,1,3,7,0.0,0.0,79900
432,5,1971,1971,3,4,765.0,765,1365,1,3,6,2.0,440.0,122500
433,6,1997,1998,3,2,926.0,926,1604,2,3,7,2.0,470.0,181000
434,4,1972,1972,3,2,630.0,630,630,1,3,3,0.0,0.0,81000
435,7,1996,1996,2,2,799.0,827,1661,2,2,6,2.0,550.0,212000
436,6,1920,1950,3,1,648.0,734,1118,1,3,6,2.0,440.0,116000
437,6,1926,2004,2,4,884.0,904,904,1,3,4,1.0,180.0,119000
438,5,1913,2002,3,4,440.0,694,694,1,2,4,1.0,352.0,90350
439,6,1920,2000,3,4,684.0,684,1196,1,2,7,2.0,528.0,110000
440,10,2008,2008,0,0,3094.0,2402,2402,2,0,10,3.0,672.0,555000
441,4,1955,1955,3,4,1440.0,1440,1440,2,1,8,0.0,0.0,118000
442,5,1930,1992,3,4,1078.0,1128,1573,2,3,8,2.0,360.0,162900
443,7,2006,2007,2,0,1258.0,1258,1258,2,2,6,3.0,648.0,172500
444,7,1994,1995,2,2,915.0,933,1908,2,2,8,2.0,493.0,210000
445,6,1956,1956,3,4,1436.0,1689,1689,1,3,7,2.0,480.0,127500
446,6,1966,2002,2,4,1517.0,1888,1888,2,2,6,2.0,578.0,190000
447,7,1998,1999,2,2,930.0,956,1886,2,2,10,2.0,431.0,199900
448,6,1937,1950,3,4,780.0,780,1376,2,3,7,1.0,198.0,119500
449,3,1948,2002,3,4,649.0,679,1183,1,3,6,1.0,308.0,120000
450,6,1930,2005,3,4,813.0,813,813,1,2,5,1.0,270.0,110000
451,7,1975,1975,3,2,1533.0,1533,1533,2,2,5,2.0,576.0,280000
452,6,1996,1997,2,0,872.0,888,1756,2,3,7,2.0,422.0,204000
453,8,2008,2008,2,2,768.0,786,1590,2,2,6,2.0,676.0,210000
454,5,1976,1976,3,4,1728.0,1728,1728,2,3,8,2.0,560.0,188000
455,7,1973,1973,3,4,1242.0,1242,1242,1,3,6,2.0,528.0,175500
456,5,1916,1950,3,4,624.0,624,1344,1,3,7,3.0,513.0,98000
457,4,1954,1994,3,2,1364.0,1663,1663,1,2,6,2.0,529.0,256000
458,8,1925,1996,3,4,588.0,833,1666,1,2,7,1.0,228.0,161000
459,5,1950,1950,3,4,709.0,979,1203,1,2,5,1.0,352.0,110000
460,8,2009,2009,2,2,832.0,832,1935,2,3,8,2.0,552.0,263435
461,7,1936,2007,2,2,560.0,575,1135,1,2,6,2.0,576.0,155000
462,5,1965,1965,3,4,864.0,864,864,1,3,5,1.0,360.0,62383
463,6,1934,1995,3,4,715.0,849,1660,1,3,6,1.0,240.0,188700
464,5,1978,1978,3,2,1040.0,1040,1040,2,3,5,0.0,0.0,124000
465,7,2004,2004,2,2,1375.0,1414,1414,2,2,6,2.0,398.0,178740
466,7,1970,1970,3,4,1277.0,1277,1277,1,3,5,2.0,526.0,167000
467,5,1942,1995,3,4,728.0,888,1644,1,2,7,1.0,312.0,146500
468,8,2006,2006,2,2,1626.0,1634,1634,2,2,7,3.0,866.0,250000
469,6,1993,1993,2,2,832.0,832,1710,2,2,7,2.0,506.0,187000
470,8,1985,1985,2,2,1488.0,1502,1502,1,2,4,2.0,528.0,212000
471,7,1977,1977,3,2,808.0,1161,1969,2,3,8,2.0,534.0,190000
472,6,2005,2005,3,2,547.0,1072,1072,1,3,5,2.0,525.0,148000
473,8,2006,2007,2,0,1976.0,1976,1976,2,2,7,3.0,908.0,440000
474,8,2000,2000,2,2,1494.0,1652,1652,2,0,6,2.0,499.0,251000
475,5,1963,1963,3,4,970.0,970,970,1,3,5,2.0,624.0,132500
476,6,1997,1998,3,2,1478.0,1493,1493,2,2,7,2.0,508.0,208900
477,9,2006,2006,0,2,2153.0,2069,2643,2,0,9,3.0,694.0,380000
478,8,2007,2008,2,0,1705.0,1718,1718,2,2,7,3.0,826.0,297000
479,4,1937,2000,3,1,907.0,1131,1131,1,3,7,2.0,672.0,89471
480,9,2004,2005,2,0,1833.0,1850,1850,2,2,8,3.0,772.0,326000
481,9,2003,2004,2,0,1792.0,1792,1792,2,0,6,3.0,874.0,374000
482,7,1915,2005,2,4,910.0,916,1826,1,0,7,1.0,164.0,155000
483,6,1998,1998,3,0,1216.0,1216,1216,2,3,5,2.0,402.0,164000
484,5,1962,2001,3,4,999.0,999,999,1,2,6,1.0,264.0,132500
485,5,1950,2007,2,4,1113.0,1113,1113,1,2,5,1.0,264.0,147000
486,5,1965,1965,3,4,1073.0,1073,1073,1,3,6,2.0,515.0,156000
487,5,1971,1971,3,2,1484.0,1484,1484,2,3,7,2.0,487.0,175000
488,5,1900,1970,3,4,954.0,1766,2414,2,3,10,2.0,520.0,160000
489,4,1970,2002,3,2,630.0,630,630,1,2,3,1.0,286.0,86000
490,5,1976,1976,3,2,264.0,616,1304,1,3,4,1.0,336.0,115000
491,6,1941,1950,3,4,806.0,958,1578,1,1,5,1.0,240.0,133000
492,6,2006,2006,2,2,728.0,728,1456,2,3,8,2.0,429.0,172785
493,5,1960,1960,3,4,1269.0,1269,1269,1,3,6,1.0,308.0,155000
494,5,1938,1996,3,1,190.0,886,886,1,3,4,1.0,273.0,91300
495,4,1920,1950,3,4,720.0,720,720,1,3,4,0.0,0.0,34900
496,8,1992,1993,2,2,3200.0,3228,3228,3,2,10,2.0,546.0,430000
497,7,1925,1950,3,4,1026.0,1133,1820,2,3,8,1.0,240.0,184000
498,5,1967,2004,3,4,864.0,899,899,1,2,5,1.0,288.0,130000
499,5,1958,1985,3,4,912.0,912,912,1,3,5,1.0,297.0,120000
500,6,1973,1973,3,4,672.0,672,1218,1,3,7,1.0,264.0,113000
501,7,2005,2005,2,2,866.0,866,1768,2,2,7,2.0,603.0,226700
502,5,1965,1965,3,4,1214.0,1214,1214,1,3,6,2.0,461.0,140000
503,7,1959,1997,3,4,1501.0,1801,1801,2,3,6,2.0,484.0,289000
504,6,1974,1974,3,4,855.0,855,1322,2,3,6,2.0,440.0,147000
505,5,1952,1952,3,4,960.0,960,1960,2,3,10,2.0,400.0,124500
506,8,1993,1994,2,2,777.0,1065,1911,2,2,8,2.0,471.0,215000
507,6,2009,2009,2,2,1218.0,1218,1218,2,2,4,2.0,676.0,208300
508,7,1928,2005,3,4,689.0,689,1378,2,2,7,2.0,360.0,161000
509,5,1959,1959,3,4,1041.0,1041,1041,1,3,6,1.0,270.0,124500
510,5,1951,2000,2,4,1008.0,1363,1363,1,3,6,1.0,288.0,164900
511,7,2005,2006,2,2,1368.0,1368,1368,2,2,6,2.0,474.0,202665
512,5,1958,1958,3,4,864.0,864,864,1,3,5,2.0,624.0,129900
513,6,1983,1983,3,4,1084.0,1080,1080,1,3,5,2.0,484.0,134000
514,5,1926,1950,3,4,768.0,789,789,1,3,5,1.0,200.0,96500
515,10,2009,2009,0,0,2006.0,2020,2020,2,0,9,3.0,900.0,402861
516,6,1972,1972,3,4,689.0,1378,2119,2,3,7,2.0,583.0,158000
517,7,1996,1997,2,2,1264.0,1277,2344,2,2,7,3.0,889.0,265000
518,6,1998,1998,3,2,794.0,882,1796,2,3,7,2.0,546.0,211000
519,7,1926,2004,2,2,1276.0,1276,2080,1,2,9,1.0,282.0,234000
520,4,1900,2000,3,3,0.0,694,1294,2,3,7,0.0,0.0,106250
521,6,1957,1957,3,4,1244.0,1244,1244,1,3,6,1.0,336.0,150000
522,6,1947,1950,3,4,1004.0,1004,1664,2,3,7,2.0,420.0,159000
523,7,1996,1997,2,2,1379.0,1383,2398,2,2,8,3.0,834.0,315750
524,7,2005,2005,2,2,1257.0,1266,1266,2,2,6,2.0,453.0,176000
525,5,1956,2000,3,2,928.0,928,928,1,3,4,1.0,252.0,132000
526,9,2008,2008,0,0,1452.0,1476,2713,2,0,11,3.0,858.0,446261
527,4,1920,2002,3,4,528.0,605,605,1,3,5,0.0,0.0,86000
528,6,1957,1975,2,4,2035.0,2515,2515,3,3,9,2.0,484.0,200624
529,6,1988,1989,2,2,1461.0,1509,1509,2,2,5,2.0,600.0,175000
530,6,1920,1999,3,1,611.0,751,1362,2,3,6,2.0,502.0,128000
531,5,1955,2007,3,3,0.0,827,827,1,3,5,1.0,392.0,107500
532,1,1946,1950,1,3,0.0,334,334,1,1,2,0.0,0.0,39300
533,8,2004,2004,2,0,707.0,707,1414,2,2,6,2.0,403.0,178000
534,5,1910,1991,3,2,1117.0,820,1347,1,3,5,0.0,0.0,107500
535,7,1998,1999,3,2,880.0,880,1724,2,2,8,2.0,527.0,188000
536,4,1972,1972,3,4,864.0,864,864,1,3,5,2.0,576.0,111250
537,5,1968,1968,3,4,1051.0,1159,1159,1,3,7,1.0,336.0,158000
538,8,2001,2002,2,2,1581.0,1601,1601,2,2,6,2.0,670.0,272000
539,9,2006,2006,0,0,1838.0,1838,1838,2,0,8,3.0,765.0,315000
540,8,2000,2000,2,2,969.0,997,2285,2,2,8,3.0,648.0,248000
541,7,1998,1999,2,0,1650.0,1680,1680,2,2,7,2.0,583.0,213250
542,7,1998,1998,3,2,723.0,767,767,1,3,4,1.0,367.0,133000
543,7,2006,2006,2,2,654.0,664,1496,2,2,7,2.0,426.0,179665
544,7,1988,1988,2,2,1204.0,1377,2183,2,2,9,3.0,786.0,229000
545,6,1923,1950,3,2,1065.0,915,1635,1,3,6,2.0,440.0,210000
546,5,1970,1970,3,2,768.0,768,768,1,3,5,2.0,624.0,129500
547,5,1955,1995,3,4,825.0,825,825,1,3,4,2.0,720.0,125000
548,7,2003,2004,2,2,912.0,912,2094,2,2,8,2.0,615.0,263000
549,6,1977,1977,3,2,1069.0,1069,1069,2,3,4,2.0,440.0,140000
550,5,1957,1957,3,4,928.0,928,928,1,3,5,1.0,288.0,112500
551,8,2006,2006,2,0,1709.0,1717,1717,2,2,7,3.0,908.0,255500
552,4,1949,2003,3,3,0.0,1126,1126,2,2,5,2.0,520.0,108000
553,7,2003,2004,2,2,998.0,1006,2046,2,2,8,3.0,871.0,284000
554,5,1922,1950,3,4,993.0,1048,1048,1,3,5,1.0,280.0,113000
555,5,1957,1957,3,4,1092.0,1092,1092,1,3,6,1.0,299.0,141000
556,4,1920,1950,3,4,637.0,897,1336,1,3,7,1.0,570.0,108000
557,7,1996,1997,3,2,729.0,729,1446,2,3,6,2.0,406.0,175000
558,7,2003,2004,2,2,1374.0,1557,1557,2,2,7,2.0,420.0,234000
559,5,1957,1996,3,2,1392.0,1392,1392,1,3,5,2.0,528.0,121500
560,5,1974,1975,3,2,1389.0,1389,1389,1,3,6,2.0,418.0,170000
561,5,1940,1969,3,4,996.0,996,996,1,3,6,0.0,0.0,108000
562,6,1918,1950,3,2,1163.0,1163,1674,2,3,8,2.0,396.0,185000
563,7,1992,2000,2,2,1095.0,1166,2295,2,2,9,2.0,590.0,268000
564,6,1915,1950,3,2,806.0,841,1647,1,1,6,1.0,216.0,128000
565,9,2005,2007,2,2,1122.0,1134,2504,2,0,11,3.0,656.0,325000
566,7,2004,2004,2,2,1517.0,1535,1535,2,2,7,2.0,532.0,214000
567,8,1983,2009,2,2,1496.0,1496,2132,1,2,5,2.0,612.0,316600
568,5,1979,1979,3,2,943.0,943,943,1,3,4,2.0,600.0,135960
569,5,1965,1965,3,4,1728.0,1728,1728,2,3,10,2.0,576.0,142600
570,6,1959,1959,3,4,864.0,864,864,1,2,4,1.0,288.0,120000
571,7,2009,2009,3,0,846.0,846,1692,2,2,6,2.0,650.0,224500
572,7,2000,2000,3,2,384.0,774,1430,2,3,8,2.0,400.0,170000
573,5,1971,2005,3,4,372.0,576,1109,1,3,5,1.0,288.0,139000
574,5,1947,1950,3,4,832.0,832,1216,1,3,6,1.0,336.0,118500
575,7,1928,1950,3,4,861.0,877,1477,2,3,6,1.0,216.0,145000
576,5,1966,1966,3,4,1164.0,1320,1320,1,3,6,2.0,564.0,164500
577,7,2007,2007,2,2,689.0,703,1392,2,2,5,2.0,540.0,146000
578,5,1954,1954,3,4,1050.0,1050,1795,2,3,7,1.0,352.0,131500
579,6,1960,1987,3,4,1144.0,1429,1429,1,2,7,2.0,572.0,181900
580,8,2008,2009,0,0,2042.0,2042,2042,2,0,8,3.0,1390.0,253293
581,6,1990,1990,3,2,816.0,816,816,1,3,5,0.0,0.0,118500
582,10,1893,2000,0,4,1237.0,1521,2775,3,2,9,2.0,880.0,325000
583,4,1935,1995,3,4,884.0,989,1573,1,2,6,1.0,240.0,133000
584,8,2005,2006,2,0,1868.0,2028,2028,2,2,7,3.0,880.0,369900
585,6,1918,2000,3,4,816.0,838,838,1,1,5,1.0,275.0,130000
586,5,1982,1982,3,4,840.0,860,860,1,3,4,2.0,528.0,137000
587,5,1968,2003,3,4,1437.0,1473,1473,1,0,5,1.0,452.0,143000
588,5,1930,1960,3,4,742.0,779,935,1,3,4,1.0,308.0,79500
589,7,2004,2004,2,2,770.0,770,1582,2,2,6,2.0,520.0,185900
590,10,2008,2008,0,0,1722.0,1728,2296,2,0,10,3.0,842.0,451950
591,5,1982,2003,3,4,816.0,816,816,1,3,4,2.0,816.0,138000
592,6,2003,2003,2,2,848.0,848,848,1,2,4,2.0,420.0,140000
593,5,1975,1975,3,2,924.0,924,924,1,3,5,1.0,280.0,110000
594,8,2005,2006,2,2,1814.0,1826,1826,2,2,7,3.0,758.0,319000
595,6,1910,1993,3,4,684.0,684,1368,1,3,7,1.0,216.0,114504
596,7,2006,2007,2,0,1258.0,1402,1402,0,2,7,3.0,648.0,194201
597,5,1977,1977,3,2,1430.0,1647,1647,2,2,7,2.0,621.0,217500
598,6,1980,1980,3,2,716.0,716,1556,2,3,6,2.0,452.0,151000
599,8,2005,2005,2,2,1058.0,1058,1904,2,0,8,2.0,736.0,275000
600,6,1937,1950,3,4,780.0,780,1375,1,2,6,1.0,544.0,141000
601,8,1992,1992,2,2,908.0,927,1915,2,2,8,2.0,506.0,220000
602,7,2004,2005,2,2,600.0,600,1200,2,2,4,2.0,480.0,151000
603,7,2002,2002,2,2,1494.0,1494,1494,2,2,6,2.0,530.0,221000
604,7,1965,1990,3,4,768.0,1186,1986,2,3,7,2.0,486.0,205000
605,5,1996,1996,3,2,1040.0,1040,1040,1,2,6,2.0,576.0,152000
606,5,1948,2002,3,4,896.0,1112,2008,3,0,8,1.0,230.0,225000
607,8,1934,1998,3,2,965.0,1940,3194,2,3,10,2.0,380.0,359100
608,4,1961,1961,3,4,1029.0,1029,1029,1,3,5,1.0,261.0,118500
609,9,2000,2000,2,0,1440.0,1476,2153,2,0,8,3.0,736.0,313000
610,6,1978,1978,3,2,1032.0,1032,1032,2,3,6,2.0,564.0,148000
611,8,2001,2001,2,2,1299.0,1299,1872,2,0,7,2.0,531.0,261500
612,5,2007,2007,3,2,1120.0,1120,1120,1,3,6,0.0,0.0,147000
613,4,1972,1972,3,2,630.0,630,630,1,3,3,0.0,0.0,75500
614,6,1963,1963,3,4,936.0,1054,1054,1,2,6,2.0,480.0,137500
615,6,2002,2003,2,2,783.0,807,1509,2,2,7,2.0,393.0,183200
616,6,1954,1954,3,4,832.0,832,832,1,2,4,2.0,528.0,105500
617,9,2007,2007,0,0,1822.0,1828,1828,2,2,9,3.0,774.0,314813
618,8,2003,2003,2,2,1482.0,1482,2262,2,2,10,3.0,749.0,305000
619,3,1914,1950,3,4,864.0,864,864,1,3,5,0.0,0.0,67000
620,6,1974,1997,3,4,1522.0,1548,2614,2,3,9,2.0,624.0,240000
621,5,1977,1977,3,4,980.0,980,980,1,3,6,2.0,484.0,135000
622,6,2000,2000,2,2,756.0,756,1512,2,2,4,2.0,440.0,168500
623,6,1972,1972,3,4,732.0,1012,1790,1,3,8,2.0,484.0,165150
624,6,1962,1962,3,4,1116.0,1116,1116,1,3,5,2.0,440.0,160000
625,5,1960,1978,3,4,978.0,1422,1422,1,3,6,1.0,286.0,139900
626,6,1955,1972,3,4,1156.0,1520,1520,1,3,7,1.0,364.0,153000
627,5,1969,1969,3,2,1040.0,1040,2080,1,1,9,2.0,504.0,135000
628,6,1964,1964,3,4,1248.0,1350,1350,1,3,6,2.0,520.0,168500
629,5,1880,1991,3,1,636.0,1089,1750,1,0,8,1.0,240.0,124000
630,8,2006,2006,2,2,1554.0,1554,1554,2,2,6,2.0,627.0,209500
631,7,1977,1977,3,4,1386.0,1411,1411,2,3,6,2.0,544.0,82500
632,5,1954,2005,3,4,1056.0,1056,1056,1,3,6,1.0,260.0,139400
633,6,1980,1980,3,4,1056.0,1056,1056,0,3,4,2.0,576.0,144000
634,6,1914,1995,1,4,1440.0,1440,3395,2,1,14,0.0,0.0,200000
635,2,1936,1950,1,4,264.0,800,800,1,1,4,0.0,0.0,60000
636,5,1954,1954,3,4,811.0,811,1387,2,2,7,1.0,256.0,93000
637,5,1910,1950,3,1,796.0,796,796,1,3,4,0.0,0.0,85000
638,8,2006,2006,2,2,1520.0,1567,1567,2,0,7,3.0,648.0,264561
639,8,2003,2004,0,0,1518.0,1518,1518,1,0,6,2.0,588.0,274000
640,7,2001,2001,2,2,1057.0,1057,1929,2,2,7,2.0,650.0,226000
641,8,1972,1995,2,2,1952.0,2000,2704,2,0,9,2.0,538.0,345000
642,5,1969,1969,3,4,780.0,780,1620,2,3,7,2.0,462.0,152000
643,9,2009,2009,0,0,1766.0,1766,1766,2,0,7,3.0,478.0,370878
644,6,1971,1971,3,4,981.0,981,981,1,3,5,2.0,576.0,143250
645,5,1950,1950,3,3,0.0,1048,1048,1,3,7,2.0,420.0,98300
646,6,1953,1953,3,4,1094.0,1094,1094,1,3,5,2.0,495.0,155000
647,6,1966,1966,3,4,756.0,1051,1839,1,3,7,2.0,442.0,155000
648,4,1970,1970,3,2,630.0,630,630,1,3,3,0.0,0.0,84500
649,7,2007,2007,2,2,813.0,822,1665,2,2,7,2.0,562.0,205950
650,4,1940,1950,3,4,755.0,755,1510,1,3,7,1.0,296.0,108000
651,7,1996,1996,2,2,880.0,909,1716,2,2,7,2.0,512.0,191000
652,6,1906,1995,3,4,756.0,756,1469,1,3,7,1.0,216.0,135000
653,8,1995,1995,2,2,2109.0,2113,2113,2,2,7,3.0,839.0,350000
654,6,1971,1971,3,4,525.0,525,1092,1,3,6,1.0,264.0,88000
655,5,1959,2006,2,4,1053.0,1053,1053,1,2,5,1.0,312.0,145500
656,7,1931,2000,3,2,776.0,851,1502,1,3,6,1.0,270.0,149000
657,6,1948,1950,3,4,912.0,912,1458,1,3,6,1.0,330.0,97500
658,5,1964,1999,3,4,1486.0,1486,1486,1,3,7,2.0,480.0,167000
659,7,1976,1976,3,2,793.0,1142,1935,2,3,7,2.0,550.0,197900
660,8,1994,2005,2,2,1629.0,1686,2448,2,2,8,3.0,711.0,402000
661,6,1968,1968,3,1,1392.0,1392,1392,1,3,5,2.0,576.0,110000
662,4,1972,1972,3,2,1138.0,1181,1181,2,3,6,2.0,588.0,137500
663,8,2005,2006,2,0,2077.0,2097,2097,1,0,8,3.0,1134.0,423000
664,8,2000,2000,2,2,1406.0,1454,1936,2,2,7,2.0,504.0,230500
665,6,1965,1979,3,2,1021.0,1465,2380,2,3,7,2.0,596.0,129000
666,6,1994,1998,3,2,1408.0,1679,1679,2,2,7,2.0,575.0,193500
667,5,1956,1987,3,4,1188.0,1437,1437,1,3,6,2.0,576.0,168000
668,4,1922,1950,3,1,700.0,1180,1180,1,1,5,1.0,252.0,137500
669,6,2005,2005,2,2,738.0,738,1476,2,2,7,2.0,540.0,173500
670,6,1925,1950,3,4,672.0,697,1369,2,3,6,1.0,300.0,103600
671,6,1977,1977,2,2,1208.0,1208,1208,1,3,6,2.0,546.0,165000
672,6,1957,2004,3,4,1477.0,1839,1839,2,2,7,2.0,416.0,257500
673,6,1965,1965,3,4,1136.0,1136,1136,1,3,5,1.0,384.0,140000
674,6,1978,1978,3,4,855.0,855,1441,2,3,7,2.0,440.0,148500
